actual,proposed
0.30000463128089905,0.20000000298023224
0.30300432443618774,0.20000000298023224
0.3045041859149933,0.20000000298023224
0.30750390887260437,0.20000000298023224
0.3090038001537323,0.20000000298023224
0.15276455879211426,0.20000000298023224
0.15529286861419678,0.20000000298023224
0.15776026248931885,0.20000000298023224
0.15519747138023376,0.20000000298023224
0.1467219442129135,0.20000000298023224
0.13588865101337433,0.20000000298023224
0.12945690751075745,0.20000000298023224
0.11864502727985382,0.20000000298023224
0.10351292043924332,0.20000000298023224
0.0841178223490715,0.20000000298023224
0.05006934329867363,0.20000000298023224
0.026684356853365898,0.20000000298023224
0.003488851711153984,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.19484810531139374
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.19384631514549255
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.19390960037708282
0.0,0.20000000298023224
0.0,0.1980350911617279
0.0,0.20000000298023224
0.0,0.19398173689842224
0.0,0.19388225674629211
0.0,0.19101618230342865
0.0,0.18551670014858246
0.0,0.1671641319990158
0.0,0.1545935571193695
0.0,0.1399850696325302
0.0,0.20000000298023224
0.0,0.20000000298023224
0.022319070994853973,0.20000000298023224
0.05925390496850014,0.20000000298023224
0.075090691447258,0.20000000298023224
0.09938178211450577,0.20000000298023224
0.11894083023071289,0.20000000298023224
0.15294551849365234,0.20000000298023224
0.1629919409751892,0.20000000298023224
0.17725719511508942,0.20000000298023224
0.19132819771766663,0.20000000298023224
0.20590564608573914,0.20000000298023224
0.2109055519104004,0.20000000298023224
0.22021591663360596,0.20000000298023224
0.2207016497850418,0.20000000298023224
0.2260282337665558,0.20000000298023224
0.22215233743190765,0.20000000298023224
0.21835651993751526,0.20000000298023224
0.20591920614242554,0.20000000298023224
0.1858556866645813,0.20000000298023224
0.1577950268983841,0.20000000298023224
0.13753558695316315,0.20000000298023224
0.09782540798187256,0.20000000298023224
0.07399089634418488,0.20000000298023224
0.04609508067369461,0.20000000298023224
0.018543172627687454,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.1941809207201004
0.0,0.1957007348537445
0.0,0.1918017715215683
0.0,0.16749103367328644
0.0,0.14719311892986298
0.0,0.12165699899196625
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.17784656584262848
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.0,0.20000000298023224
0.004526791628450155,0.20000000298023224
0.014730039983987808,0.19995366036891937
0.024763567373156548,0.20000000298023224
0.030275912955403328,0.20000000298023224
0.036721475422382355,0.20000000298023224
0.037659935653209686,0.20000000298023224
0.03857304900884628,0.20000000298023224
0.04817967116832733,0.20000000298023224
0.06266822665929794,0.20000000298023224
0.05884190648794174,0.20000000298023224
